Username,postdate,text,comments,Retweets,Likes
Andreas Klinger,2020-01-25T21:00:15.000Z,"Remote Work is one of the big opportunities for rural areas.

Every small town will discuss their remote work strategy in the next 1-5 years

And most don’t know what to do other than offer relocation bonus. #requestforstartup

Tulsa & Vermont lead the wayCornwall out to entice remote tech workers | CBC News
Cornwall, Ont., once one of the province's major manufacturing centres, is looking to reinvent itself as a hub for remote tech workers. 
cbc.ca",17,63,270
Minn,2020-07-30T19:06:26.000Z,"I've quoted 
@dpup
 before abt remote work, & I'll do it over & over again: ""The problems at work haven't changed. Going remote just makes clear what was hidden when co-located.""

Sidebar: I'm looking for more ""personal RPA"" for workflow automation! #requestforstartup DMs open Quote Tweet
Meg Bolger
@megmbolger
 · Jul 30
We still have a lot to figure out about remote work. @minney_cat weighs in to assess the remote-work startup landscape, of course with a few of her famous #requestforproduct ideas peppered in throughout. :) https://techcrunch.com/2020/07/30/six-leading-investors-assess-the-remote-work-startup-landscape/…",,2,4
Drew Beechler,2020-09-02T14:17:15.000Z,"I really want to support journalism and pay for more subscriptions, but they just make it so hard with their user back-ends. Is that just me? 

It’s 2020 — subscription & user management has been commoditized in every other digital product EXCEPT for media.
#requestforstartup?",1,,8
Kieran | nocodelife,2020-06-10T11:59:52.000Z,"Product idea: Asynchronous team voice chat app where you can play voice messages at 2x or faster and it automatically removes filler words.

Making team communications twice as efficient.

#requestforstartup #requestforproduct",5,,10
Siddharth Ram,2020-11-28T04:26:51.000Z,"#RequestForStartup

Online Communities 'want' Entertainment/Fun led engagement beyond just content, Q&A.",,1,11
Sharath Kuruganty,2020-10-08T20:49:45.000Z,"Is there a 
@sandwich
 video for maker products? 

If no then that's a #requestforstartup ",4,1,6
Vincent @ Threader,2019-09-21T11:11:55.000Z,#RequestForStartup A downvote button for Product Hunt,,1,7
Minn,2020-03-10T18:54:41.000Z,"Perhaps now is the time for what 
@jamescham
 and I have been looking for for months: Stories for Standups, short video recordings to share what’s going on in your work lives #requestforstartup",3,1,8
Anand Iyer,2020-07-29T03:36:13.000Z,"Couples therapy, but with your kid (instead of your partner). Quarantine related #requestforstartup / #requestforservice",2,,6
Minn,2020-03-09T05:31:26.000Z,"Replying to 
@minney_cat Explicit new norms for effective video communications. E.g., everyone mutes when not speaking, either everyone's or no one's cameras are on to keep convos on level field, how to sign off, etc.

(Tools like http://icebreaker.video or http://huddl.ai can help with this!)",1,2,10
Minn,2020-03-09T05:37:45.000Z,"Pair programming, but for knowledge work 

Tools like 
@PairWithTuple
, 
@getcoscreen
, 
@screenhero
, & IDEs w/ screen share fts help SWEs collaboratively code remotely. There should be something like this but for knowledge workers that's more than GDocs (#requestforstartup)",3,1,5
